Filename,transcript,Call Type,Tags,Notes,original_transcript
202412010731-280830-14744_call_1.wav,19 1623 emergency medical services 2 partial structure fire partial residential structure fire 1623 rodeo rodeo drive text time at 830 hours 14b 42 10 4 830 hours 9 10 fire risk 2 emergency medical services 2 emergency medical services 2 emergency medical services 2 thats all 1623 19 clear residential we got another 19 investigate establish command we got a hydrant for ya 19,fire,EMS,,19 1623 EMS 2 partial structure fire partial residential structure fire 1623 rodeo rodeo drive text time at 830 hours 14b 42 10-4 830 hours 9 10 fire risk 2 EMS 2 EMS 2 EMS 2 thats all 1623 19  clear residential we got another 19 investigate establish command we got a hydrant for ya 19
202412011259-954439-14744_call_11.wav,4845 cleveland street block 60 71 year old male concious breathing 1427 14b copy 17 23 responder form 2501 j pass boulevard at the 14b copy assign 22 for a cardiac 1406 deerpond lane i have a male patient unknown age concious and breathing at 1420 14b copy 1425b respond for an illness 312 26th street a as in adam either 64 or 68 year old female concious and breathing 1428,medical,"cardiac, EMS",,4845 cleveland street block 60 71 year old male concious breathing 1427 14b copy 17 23 responder form 2501 j pass boulevard at the 14b copy assign 22 for a cardiac 1406 deerpond lane i have a male patient unknown age concious and breathing at 1420 14b copy 1425b respond for an illness 312 26th street a as in adam either 64 or 68 year old female concious and breathing 1428
202412011329-642550-14744_call_6.wav,923p we clear momentarily you can clear 621 and assign 923p to 10 4 you copy the holding fall on aragona and i just got an illness at bbsay alright intramuscular working to try to get some ambulances cleared up we may need to use 621 so let my try one more ambulance then ill yes sir 1420 22 you can clear emergency medical services when its gonna be a police matter when you get chance can you give me an estimated time of arrival on there of course 621p 620p we copy were clear were coming up 10 4 stand by and ill give you a call in just a second 1427,medical,"EMS, police",,923p we clear momentarily you can clear 621 and assign 923p to 10-4 you copy the holding fall on aragona and i just got an illness at bbsay alright im working to try to get some ambulances cleared up we may need to use 621 so let my try one more ambulance then ill yes sir 1420 22 you can clear EMS when its gonna be a police matter when you get chance can you give me an ETA on there of course 621p 620p we copy were clear were coming up 10-4 stand by and ill give you a call in just a second 1427
202412011458-971661-14744_call_3.wav,22s car is clear we just passed your station 122 you copy 122 you copy 10 4 22p youre clear 122 copy 10 4 16 youre clear as well alright copy thank you 10 4 14 b copy 20p respond for unconcious 5760 northhampton boulevard champs sports bar and grill man 30 years of age unconcious front door,medical,EMS,,22s car is clear we just passed your station 122 you copy 122 you copy 10-4 22p youre clear 122 copy 10-4 16 youre clear as well alright copy thank you 10-4 14 b copy 20p respond for unconcious 5760 northhampton boulevard champs sports bar and grill man 30 years of age unconcious front door
202412021121-31317-14744_call_2.wav,call for 2200 park avenue eleven angela eleven eleven fire alarm engine 14 engine 14 1723 22 22 calling for free paramedic you guys get on the bridge youre gonna have to go all the way down to the first island and hang a right before the tunnel drive all the way around and get back in a southbound direction okay we copy just to let you know were from company 17 i copy engine 18 were you calling me yeah i was just calling the 18 driver proceed intramuscular gonna dissolve command and leave the tac with you proceed thank you copy that when you get on the bridge youre gonna have to go all the way down to the first tunnel hang a right before you go through the tunnel drive all the way around then head back in the southbound direction you ll see the action on your left hand side as you pass,fire,fire,,call for 2200 park avenue eleven angela eleven eleven fire alarm engine 14 engine 14 1723 22 22 calling for free paramedic you guys get on the bridge youre gonna have to go all the way down to the first island and hang a right before the tunnel drive all the way around and get back in a southbound direction okay we copy just to let you know were from company 17 i copy engine 18 were you calling me yeah i was just calling the 18 driver proceed im gonna dissolve command and leave the tac with you proceed thank you copy that when you get on the bridge youre gonna have to go all the way down to the first tunnel hang a right before you go through the tunnel drive all the way around then head back in the southbound direction you'll see the action on your left hand side as you pass
202412021321-120801-14744_call_13.wav,it is where it is on the map 10 four engine 18 driver who has 18 driver i have word right here saying street 115 by the loading dock they had a steam valve blow that uh caused alarm to go off proceed they had a steam valve by 115 yes the ambulatory surgery center is in the back by the steam dock proceed 18 and ladder 10 copy 10 4 were heading there now 18 driver no injuries none reported proceed,fire,"surgery center, steam",,it is where it is on the map 10-4 engine 18 driver who has 18 driver i have word right here saying street 115 by the loading dock they had a steam valve blow that uh caused alarm to go off proceed they had a steam valve by 115 yes the ambulatory surgery center is in the back by the steam dock proceed 18 and ladder 10 copy 10-4 were heading there now 18 driver no injuries none reported proceed
202412021520-274679-14744_call_10.wav,1623 can you respond to a medical alarm 40 20 4020 bonnie road 1637 emergency medical services 1 virginia beach can you find out from engine 10 if these accidents are one and the same yes received an update they are the same k is there any way that we can merge them and do a one a time,medical,,,1623 can you respond to a medical alarm 40 20 4020 bonnie road 1637 EMS 1 Virginia Beach can you find out from Engine 10 if these accidents are one and the same yes received an update they are the same k is there any way that we can merge them and do a one a time
202412021520-274679-14744_call_12.wav,and is 7 5 4 fire 7 intramuscular not sure they ve updated your case this is in the same case we have units on tac 3 and units on tac 4 if you re in a good position i can clear ladder 16 yeah intramuscular arriving now you can go ahead and clear fire 16 panels assigned to our call is that correct we have tac 3 and 4 yes its because it was initially entered as 2 separate cases until we were able to confirm they were related so everyone wants to go to tac 3 its all the same accident ok copy that i appreciate it i will let all the units on tac 1 switch to tac 3 1640 i have enough manpower on scene 16 copy were clear,"fire, medical",,,and is 7 5-4. fire 7 im not sure they've updated your case this is in the same case we have units on tac 3 and units on tac 4 if you're in a good position i can clear ladder 16 yeah im arriving now you can go ahead and clear fire 16 panels assigned to our call is that correct we have tac 3 and 4 yes its because it was initially entered as 2 separate cases until we were able to confirm they were related so everyone wants to go to tac 3 its all the same accident ok copy that i appreciate it i will let all the units on tac 1 switch to tac 3 1640 i have enough manpower on scene 16 copy were clear
202412021649-160048-14744_call_11.wav,we dont believe its leaking meters we think its somethin else is one of you there working next to area here negative its just the meters and some hvac outside units were just performing it on the outside i dont know i gotta ask uh ladder 22 about that now intramuscular speaking to the complaint man that they replaced a tankless water heater today,fire ,gas leak,,we dont believe its leaking meters we think its somethin else is one of you there working next to area here negative its just the meters and some HVAC outside units were just performing it on the outside i dont know i gotta ask uh ladder 22 about that now im speaking to the complaint man that they replaced a tankless water heater today
202412021649-160048-14744_call_7.wav,first parking lot on position 22 is on scene we got water supply and were at the fdc as well 1425 respond for heavy trader joes 503 hilltop shopping center rescue area 1807 ah when we put the meters closer to the vent the meter reading is 28 so were gonna have them check outside the meter outside it looks like the gas meter is right to the outdoor hvac units,fire,gas leak,,"first parking lot on position 22 is on scene we got water supply and were at the FDC as well 1425 respond for heavy trader joes 503 hilltop shopping center rescue area 1807 ah when we put the meters closer to the vent the meter reading is 28 so were gonna have them check outside, the meter outside it looks like the gas meter is right to the outdoor HVAC units"
