filename,selected_asr,reason,accuracy_score,completeness_score,medical_terminology_score
202412040437-202163-14744_call_14.txt,whisper,Fallback selection based on length,5,5,5
202412061348-251491-14744_call_9.txt,whisper,Fallback selection based on length,5,5,5
202412011757-965821-14744_call_5.txt,canary,More complete and accurate,9,9,9
202412011329-642550-14744_call_6.txt,canary,Fallback selection based on length,5,5,5
202412021919-979320-14744_call_3.txt,canary,Fallback selection based on length,5,5,5
202412010133-841696-14744_call_2.txt,whisper,Fallback selection based on length,5,5,5
202412021321-120801-14744_call_13.txt,whisper,Fallback selection based on length,5,5,5
202412050429-519717-14744_call_21.txt,canary,Fallback selection based on length,5,5,5
202412041703-315276-14744_call_6.txt,whisper,Fallback selection based on length,5,5,5
202412011757-965821-14744_call_11.txt,canary,Fallback selection based on length,5,5,5
202412061448-597093-14744_call_12.txt,whisper,Fallback selection based on length,5,5,5
202412061448-597093-14744_call_6.txt,whisper,Fallback selection based on length,5,5,5
202412011259-954439-14744_call_11.txt,canary,Fallback selection based on length,5,5,5
202412041305-617206-14744_call_24.txt,canary,Fallback selection based on length,5,5,5
202412040936-56143-14744_call_8.txt,whisper,Fallback selection based on length,5,5,5
202412041604-460429-14744_call_12.txt,canary,Fallback selection based on length,5,5,5
202412051157-727845-14744_call_15.txt,whisper,Fallback selection based on length,5,5,5
202412051556-238089-14744_call_6.txt,canary,More complete and accurate,9,9,9
202412010731-280830-14744_call_1.txt,canary,Fallback selection based on length,5,5,5
202412021022-748072-14744_call_9.txt,canary,Fallback selection based on length,5,5,5
202412041305-617206-14744_call_14.txt,canary,Fallback selection based on length,5,5,5
202412050459-375222-14744_call_16.txt,whisper,Fallback selection based on length,5,5,5
202412040736-239835-14744_call_6.txt,canary,Fallback selection based on length,5,5,5
202412021520-274679-14744_call_12.txt,canary,Fallback selection based on length,5,5,5
202412011458-971661-14744_call_3.txt,canary,Fallback selection based on length,5,5,5
202412040637-530611-14744_call_16.txt,whisper,Fallback selection based on length,5,5,5
202412040607-588047-14744_call_11.txt,canary,Fallback selection based on length,5,5,5
202412020952-344688-14744_call_14.txt,canary,Fallback selection based on length,5,5,5
202412031043-922113-14744_call_16.txt,canary,Fallback selection based on length,5,5,5
202412040736-239835-14744_call_4.txt,whisper,Fallback selection based on length,5,5,5
202412051456-239162-14744_call_1.txt,whisper,Fallback selection based on length,5,5,5
202412021649-160048-14744_call_11.txt,whisper,Fallback selection based on length,5,5,5
202412021948-545512-14744_call_8.txt,canary,Fallback selection based on length,5,5,5
202412041604-460429-14744_call_10.txt,canary,Fallback selection based on length,5,5,5
202412041135-308215-14744_call_10.txt,whisper,Fallback selection based on length,5,5,5
202412041035-161261-14744_call_21.txt,whisper,Fallback selection based on length,5,5,5
202412031043-922113-14744_call_18.txt,canary,Fallback selection based on length,5,5,5
202412050230-586791-14744_call_3.txt,canary,Fallback selection based on length,5,5,5
202412021121-31317-14744_call_13.txt,whisper,Fallback selection based on length,5,5,5
202412050858-692837-14744_call_2.txt,whisper,Fallback selection based on length,5,5,5
202412040637-530611-14744_call_6.txt,canary,Fallback selection based on length,5,5,5
202412021121-31317-14744_call_2.txt,canary,Fallback selection based on length,5,5,5
202412021520-274679-14744_call_10.txt,canary,Fallback selection based on length,5,5,5
202412031512-254309-14744_call_16.txt,whisper,Fallback selection based on length,5,5,5
202412041235-634426-14744_call_13.txt,whisper,Fallback selection based on length,5,5,5
202412021649-160048-14744_call_7.txt,whisper,Fallback selection based on length,5,5,5
202412051556-238089-14744_call_12.txt,canary,Fallback selection based on length,5,5,5
202412051127-142191-14744_call_3.txt,whisper,Fallback selection based on length,5,5,5
202412050858-692837-14744_call_8.txt,whisper,Fallback selection based on length,5,5,5
202412050728-925202-14744_call_6.txt,canary,Fallback selection based on length,5,5,5
